date,description,amount,mode,bank,type,gst
2025-03-08,Freelance Payment,63294.22,Credit Card,ICICI,income,8875.01
2024-12-07,Salary Credited,86731.24,Auto Debit,Axis,income,3752.38
2024-03-11,Movie Ticket,52184.77,Credit Card,Kotak,expense,9152.57
2025-02-11,Interest Credited,56526.89,NetBanking,HDFC,income,6307.81
2025-07-25,Gym Membership,58451.77,NetBanking,HDFC,expense,4072.68
2024-12-23,Mutual Fund Investment,99627.69,NetBanking,Kotak,expense,12410.65
2024-02-14,Interest Credited,13689.87,Credit Card,HDFC,income,1533.99
2025-05-05,Salary Credited,4369.79,Auto Debit,HDFC,income,186.35
2025-10-13,Hospital Payment,41768.9,Credit Card,HDFC,expense,5990.4
2024-08-10,Restaurant Payment,21863.81,Debit Card,Axis,expense,3792.01
2025-11-07,Mutual Fund Investment,87849.38,Credit Card,SBI,expense,7509.17
2024-08-01,Flight Ticket,57261.13,Debit Card,HDFC,expense,1540.74
2024-06-03,Fuel Payment,67366.08,NetBanking,ICICI,expense,3837.87
2024-12-22,Electricity Bill,30375.11,Credit Card,ICICI,expense,3978.36
2024-10-17,Electricity Bill,6643.77,UPI,HDFC,expense,454.36
2025-10-29,Restaurant Payment,39485.87,Auto Debit,Axis,expense,2265.07
2024-01-04,Consulting Payment,3864.21,UPI,ICICI,income,508.12
2025-01-24,Amazon Purchase,97972.83,NetBanking,SBI,expense,15574.73
2024-07-02,Interest Credited,65266.5,Auto Debit,Axis,income,3486.45
2025-08-28,Fuel Payment,50491.19,UPI,SBI,expense,6069.42
2025-07-06,Movie Ticket,96614.83,Credit Card,SBI,expense,11723.5
2025-05-07,Electricity Bill,28014.73,UPI,Kotak,expense,3235.93
2024-01-24,Freelance Payment,70836.97,Credit Card,ICICI,income,1631.48
2024-12-21,Mutual Fund Investment,26316.01,UPI,ICICI,expense,2232.74
2024-01-23,Grocery Shopping,31330.05,Auto Debit,HDFC,expense,2618.44
2024-07-30,Consulting Payment,65853.24,UPI,HDFC,income,9658.04
2024-08-29,Salary Credited,28573.59,NetBanking,ICICI,income,2953.89
2024-12-29,Consulting Payment,27473.49,Auto Debit,Axis,income,4397.97
2025-03-03,Salary Credited,65399.79,NetBanking,ICICI,income,10751.77
2025-07-25,Mutual Fund Investment,89244.73,Credit Card,Axis,expense,11181.96
2024-04-13,Netflix Subscription,86377.39,NetBanking,Kotak,expense,9532.44
2025-06-14,Hospital Payment,62263.0,UPI,Kotak,expense,1714.45
2025-11-09,Flight Ticket,7382.85,Debit Card,ICICI,expense,763.0
2024-11-09,Fuel Payment,17632.29,Debit Card,SBI,expense,1029.96
2024-07-11,Consulting Payment,25556.61,UPI,ICICI,income,1934.22
2025-11-02,Fuel Payment,77700.33,UPI,ICICI,expense,4207.8
2025-09-30,Fuel Payment,90302.05,Auto Debit,Kotak,expense,4844.51
2024-04-23,Fuel Payment,82061.83,Auto Debit,HDFC,expense,12243.26
2024-10-28,Amazon Purchase,79887.55,Credit Card,Axis,expense,5520.02
2025-07-06,Amazon Purchase,81386.39,Credit Card,Axis,expense,6348.41
2025-01-14,Grocery Shopping,7273.13,Debit Card,SBI,expense,773.72
2025-04-12,Freelance Payment,16329.12,Debit Card,HDFC,income,1004.95
2024-01-26,Consulting Payment,4931.45,Debit Card,Axis,income,853.33
2025-11-27,Restaurant Payment,94645.74,Credit Card,HDFC,expense,5382.32
2025-02-10,Flight Ticket,20607.96,Auto Debit,SBI,expense,472.59
2025-09-02,Gym Membership,1414.9,Auto Debit,Axis,expense,220.56
2025-07-13,Amazon Purchase,57877.35,Credit Card,HDFC,expense,3375.26
2025-03-07,Mutual Fund Investment,32645.16,Credit Card,Kotak,expense,755.39
2024-08-28,Hospital Payment,1948.33,NetBanking,SBI,expense,181.25
2024-03-08,Amazon Purchase,69102.52,Auto Debit,SBI,expense,6227.12
2025-09-26,Mutual Fund Investment,35591.86,Credit Card,HDFC,expense,5902.41
2025-08-11,Flight Ticket,18618.88,NetBanking,Kotak,expense,878.78
2024-08-27,Interest Credited,11962.28,UPI,ICICI,income,1949.1
2025-05-31,Electricity Bill,88624.12,UPI,Axis,expense,10917.44
2025-05-10,Mutual Fund Investment,26115.5,Auto Debit,Kotak,expense,2124.81
2024-05-16,Restaurant Payment,99708.0,Debit Card,Axis,expense,4042.33
2024-04-27,Restaurant Payment,28730.01,UPI,Kotak,expense,3611.02
2024-03-23,Fuel Payment,71250.78,Credit Card,Axis,expense,9000.5
2025-01-16,Amazon Purchase,33472.35,Debit Card,Axis,expense,5382.24
2025-05-23,Flight Ticket,87231.78,Auto Debit,SBI,expense,3101.69
2025-09-21,Flight Ticket,82574.14,Debit Card,ICICI,expense,10183.09
2025-07-30,Netflix Subscription,73222.13,NetBanking,ICICI,expense,10674.21
2025-08-07,Gym Membership,82633.43,Auto Debit,SBI,expense,8920.31
2025-04-08,Movie Ticket,292.33,Auto Debit,ICICI,expense,16.58
2024-12-02,Salary Credited,17687.66,Auto Debit,ICICI,income,909.36
2025-11-19,Freelance Payment,19200.04,NetBanking,ICICI,income,1291.46
2025-07-14,Netflix Subscription,45755.67,UPI,ICICI,expense,1273.9
2024-01-31,Grocery Shopping,91676.58,Debit Card,Kotak,expense,9875.35
2025-10-03,Netflix Subscription,4488.67,Credit Card,ICICI,expense,152.27
2025-01-25,Restaurant Payment,87297.7,Credit Card,Kotak,expense,4173.7
2025-07-31,Restaurant Payment,39564.1,Auto Debit,HDFC,expense,5450.49
